sample	Signature 1	Signature 2	Signature 3
C171115D-CO31	0.6550935309005036	0.114270885072201	0.23063558402729545
CLONESTE0098	0.7688844396038494	0.19786427951118188	0.033251280884968724
STE99CLONE	0.48934634171186486	0.365431587078712	0.1452220712094232
PD21928b3	0.537794159763336	0.23380583616983752	0.22840000406682665
ste0111ep4	0.3995319397090896	0.48858264692147435	0.11188541336943603
C30913DClone12	0.0035855673910181367	0.8198951317679936	0.17651930084098838
STE0111FP4	0.717936697540151	0.21458137879230496	0.06748192366754407
C171115D-CO34	0.6623598466185343	0.10250536873335016	0.23513478464811555
C171115D-LI32	0.05438534649757291	0.7407698167648034	0.20484483673762383
PD26636b3	0.5809209928050957	0.11033361365256536	0.30874539354233904
STE007231	0.5468951367098802	0.20812702482183673	0.2449778384682831
PD26636b5	0.570674913280497	0.019264588772693853	0.4100604979468092
PD23549b9	0.548629754258615	0.046202888899274715	0.4051673568421102
ste01166a	0.6026983392699649	0.23762225184098354	0.1596794088890517
ste01167f	0.5666156874342375	0.2410596815649882	0.19232463100077435
C30913DClone10	0.02331420027297684	0.878465185891906	0.0982206138351171
ste01205a	0.37852639492938017	0.41803667123484034	0.20343693383577952
PD23549b10	0.5164141032126021	0.09753948914404617	0.3860464076433518
PD23549b5	0.6197084283130332	0.2091607895180224	0.17113078216894445
CLONESTE0097	0.6347207949158749	0.20507790534405268	0.16020129974007255
clone3	0.007148439899615155	0.9719750127759307	0.02087654732445418
STE007632	0.6089535089933278	0.16216178154081892	0.2288847094658532
C211014D16CR	0.04526847185157113	0.7407501984147762	0.21398132973365275
STE1207A	0.43636621579704493	0.31494857868743453	0.24868520551552054
PD23549b4	0.530241334868236	0.09609721521261003	0.373661449919154
STE0105clone	0.6079325579352343	0.18135244022637864	0.21071500183838712
C211014D12DR	0.012416646204590879	0.6915487115352923	0.296034642260117
PD21928b4	0.5627047899009776	0.06653819758103925	0.3707570125179831
C171115D-LI31	0.04532073876680182	0.8137747276318379	0.1409045336013603
clone10	0.03496957271375613	0.8843435626152155	0.0806868646710283
PD26636b4	0.5202853003787702	0.06440282373865484	0.4153118758825749
PD21928b5	0.5401873210318574	0.14342128206421054	0.3163913969039321
PD26636b6	0.5838668929289609	0.05999071131676058	0.3561423957542785
STE100CLONE	0.6147495804452241	0.38525041955477585	0.0
STE0106clone	0.6013190969647492	0.19712166817123403	0.2015592348640168
STE007223	0.7420482122241149	0.2579517877758852	0.0
STE007212	0.655444678502627	0.0	0.34455532149737295
PD21928b7	0.5675249460893428	0.07955150352465538	0.35292355038600176
STE007612	0.6127437604452836	0.1592862671961026	0.22796997235861394
PD21928b6	0.5441095817826134	0.14026740245993746	0.3156230157574491
C120215D2C	0.006858075485431611	0.7760357376366391	0.21710618687792935
STE007623	0.7224535352043215	0.13053265174258094	0.1470138130530976
PD23549b3	0.6136639908905898	0.1593208107491091	0.22701519836030115
ste01205f	0.48004860401193494	0.34232213632435815	0.1776292596637069
C171115D-LI21	0.021497997187773177	0.7577680223403254	0.22073398047190143
