SampleID,WGD
trio01_pretumour,False
trio06_pretumour,False
trio07_pretumour,True
trio08_pretumour,True
trio09_pretumour,True
trio10_pretumour,False
trio28_pretumour,False
trio27_pretumour,False
trio23_pretumour,True
trio05_pretumour,False
trio22_pretumour,True
trio19_pretumour,False
trio25_pretumour,False
trio24_pretumour,True
trio21_pretumour,True
trio16_pretumour,True
trio18_pretumour,False
trio17_pretumour,False
trio15_pretumour,True
trio14_pretumour,False
trio13_pretumour,False
trio12_pretumour,False
trio11_pretumour,False
trio30_pretumour,False
