Symbol	Cancer Molecular Genetics
ABL1	Dom
ABL2	Dom
ACSL3	Dom
AF15Q14	Dom
AF1Q	Dom
AF3p21	Dom
AF5q31	Dom
AKAP9	Dom
AKT1	Dom
AKT2	Dom
ALDH2	Dom
ALK	Dom
ALO17	Dom
APC	Rec
ARHGEF12	Dom
ARHH	Dom
ARID1A	Rec
ARID2	Rec
ARNT	Dom
ASPSCR1	Dom
ASXL1	Rec
ATF1	Dom
ATIC	Dom
ATM	Rec
ATRX	Rec
BAP1	Rec
BCL10	Dom
BCL11A	Dom
BCL11B	Dom
BCL2	Dom
BCL3	Dom
BCL5	Dom
BCL6	Dom
BCL7A	Dom
BCL9	Dom
BCOR	Rec
BCR	Dom
BHD	Rec?
BIRC3	Dom
BLM	Rec
BMPR1A	Rec
BRAF	Dom
BRCA1	Rec
BRCA2	Rec
BRD3	Dom
BRD4	Dom
BRIP1	Rec
BTG1	Dom
BUB1B	Rec
C12orf9	Dom
C15orf21	Dom
C15orf55	Dom
C16orf75	Dom
C2orf44	Dom
CAMTA1	Dom
CANT1	Dom
CARD11	Dom
CARS	Dom
CBFA2T1	Dom
CBFA2T3	Dom
CBFB	Dom
CBL	Dom, Rec
CBLB	Rec
CBLC	Rec
CCDC6	Dom
CCNB1IP1	Dom
CCND1	Dom
CCND2	Dom
CCND3	Dom
CCNE1	Dom
CD273	Dom
CD274	Dom
CD74	Dom
CD79A	Dom
CD79B	Dom
CDH1	Rec
CDH11	Dom
CDK12	Rec
CDK4	Dom
CDK6	Dom
CDKN2A	Rec
CDKN2a(p14)	Rec
CDKN2C	Rec
CDX2	Dom
CEBPA	Dom
CEP1	Dom
CHCHD7	Dom
CHEK2	Rec
CHIC2	Dom
CHN1	Dom
CIC	Rec
CIITA	Dom
CLTC	Dom
CLTCL1	Dom
CMKOR1	Dom
COL1A1	Dom
COPEB	Rec
COX6C	Dom
CREB1	Dom
CREB3L1	Dom
CREB3L2	Dom
CREBBP	Dom/Rec
CRLF2	Dom
CRTC3	Dom
CTNNB1	Dom
CYLD	Rec
D10S170	Dom
DAXX	Rec
DDB2	Rec
DDIT3	Dom
DDX10	Dom
DDX5	Dom
DDX6	Dom
DEK	Dom
DICER1	Rec
DNM2	Rec
DNMT3A	Rec
DUX4	Dom
EBF1	Dom
ECT2L	Rec
EGFR	Dom
EIF4A2	Dom
ELF4	Dom
ELK4	Dom
ELKS	Dom
ELL	Dom
ELN	Dom
EML4	Dom
EP300	Rec
EPS15	Dom
ERBB2	Dom
ERCC2	Rec
ERCC3	Rec
ERCC4	Rec
ERCC5	Rec
ERG	Dom
ETV1	Dom
ETV4	Dom
ETV5	Dom
ETV6	Dom
EVI1	Dom
EWSR1	Dom
EXT1	Rec
EXT2	Rec
EZH2	Rec?
EZR	Dom
FACL6	Dom
FAM22A	Dom
FAM22B	Dom
FAM46C	Rec
FANCA	Rec
FANCC	Rec
FANCD2	Rec
FANCE	Rec
FANCF	Rec
FANCG	Rec
FBXO11	Rec
FBXW7	Rec
FCGR2B	Dom
FEV	Dom
FGFR1	Dom
FGFR1OP	Dom
FGFR2	Dom
FGFR3	Dom
FH	Rec
FHIT	Dom
FIP1L1	Dom
FLI1	Dom
FLJ27352	Dom
FLT3	Dom
FNBP1	Dom
FOXL2	Dom
FOXO1A	Dom
FOXO3A	Dom
FOXP1	Dom
FSTL3	Dom
FUBP1	Rec
FUS	Dom
FVT1	Dom
GAS7	Dom
GATA1	Dom
GATA2	Dom
GATA3	Rec
GMPS	Dom
GNA11	Dom
GNAQ	Dom
GNAS	Dom
GOLGA5	Dom
GOPC	Dom
GPC3	Rec/X
GPHN	Dom
GRAF	Dom
H3F3A	Dom
HCMOGT-1	Dom
HEAB	Dom
HERPUD1	Dom
HEY1	Dom
HIP1	Dom
HIST1H4I	Dom
HLF	Dom
HLXB9	Dom
HMGA1	Dom
HMGA2	Dom
HNRNPA2B1	Dom
HOOK3	Dom
HOXA11	Dom
HOXA13	Dom
HOXA9	Dom
HOXC11	Dom
HOXC13	Dom
HOXD11	Dom
HOXD13	Dom
HRAS	Dom
HRPT2	Rec
HSPCA	Dom
HSPCB	Dom
IDH1	Dom
IDH2	Dom
IGH@	Dom
IGK@	Dom
IGL@	Dom
IKZF1	Rec,Dom
IL2	Dom
IL21R	Dom
IL6ST	Dom
IL7R	Dom
IRF4	Dom
IRTA1	Dom
ITK	Dom
JAK1	Dom
JAK2	Dom
JAK3	Dom
JAZF1	Dom
JUN	Dom
KDM5A	Dom
KDM5C	Rec
KDM6A	Rec
KDR	Dom
KIAA1549	Dom
KIF5B	Dom
KIT	Dom
KLK2	Dom
KRAS	Dom
KTN1	Dom
LAF4	Dom
LASP1	Dom
LCK	Dom
LCP1	Dom
LCX	Dom
LHFP	Dom
LIFR	Dom
LMO1	Dom
LMO2	Dom
LPP	Dom
LRIG3	Dom
LYL1	Dom
MADH4	Rec
MAF	Dom
MAFB	Dom
MALT1	Dom
MAML2	Dom
MAP2K4	Rec
MDM2	Dom
MDM4	Dom
MDS1	Dom
MDS2	Dom
MECT1	Dom
MED12	Dom
MEN1	Rec
MET	Dom
MITF	Dom
MKL1	Dom
MLF1	Dom
MLH1	Rec
MLL	Dom
MLL2	Rec
MLL3	Rec
MLLT1	Dom
MLLT10	Dom
MLLT2	Dom
MLLT3	Dom
MLLT4	Dom
MLLT6	Dom
MLLT7	Dom
MN1	Dom
MPL	Dom
MSF	Dom
MSH2	Rec
MSH6	Rec
MSI2	Dom
MSN	Dom
