Symbol	Ensembl Transcript ID	CDS Length
MADD	ENST00000311027	4944
MAST2	ENST00000361297	5397
ZNF32	ENST00000374433	822
LDB2	ENST00000304523	1122
HIST1H1E	ENST00000304218	660
C9orf150	ENST00000319264	687
PDHB	ENST00000302746	1080
HLA-DQA2	ENST00000446482	768
MRPL49	ENST00000526319	501
C5orf46	ENST00000318315	264
CDC42EP2	ENST00000279249	633
RGPD6	ENST00000329516	5298
ATP6V1E2	ENST00000306448	681
KLHL17	ENST00000338591	1929
ZCCHC13	ENST00000339534	501
WDR64	ENST00000366552	3246
KIF26B	ENST00000407071	6327
KLHL35	ENST00000539798	1752
SEPT5	ENST00000455843	1137
EIF4ENIF1	ENST00000397525	2958
LRRC26	ENST00000371542	1005
TRIM46	ENST00000334634	2280
KRTCAP2	ENST00000295682	489
CXCR1	ENST00000295683	1053
ARPC2	ENST00000315717	903
C1orf182	ENST00000368255	378
CCT3	ENST00000295688	1638
NFIA	ENST00000371189	1665
C1orf87	ENST00000371201	1641
CCDC27	ENST00000294600	1971
MEGF6	ENST00000356575	4626
BCLAF1	ENST00000531224	2763
DIRAS3	ENST00000370981	690
IL23R	ENST00000347310	1890
VAMP8	ENST00000263864	303
ATXN2L	ENST00000395547	3294
C2orf82	ENST00000449331	421
ACTR1B	ENST00000289228	1131
RGS21	ENST00000417209	459
EMP2	ENST00000359543	504
KCTD11	ENST00000333751	699
C6orf48	ENST00000551957	378
C1orf144	ENST00000375590	477
OTOA	ENST00000286149	3462
LRP5	ENST00000294304	4848
PDZD9	ENST00000424898	795
RTKN2	ENST00000373789	1830
PNMAL1	ENST00000313683	1320
KIAA1324L	ENST00000450689	3090
CALML5	ENST00000380332	441
SP8	ENST00000418710	1527
MIOS	ENST00000340080	2628
CELF1	ENST00000531165	1545
MAML1	ENST00000292599	3051
TIAL1	ENST00000369093	1179
ARMC3	ENST00000298032	2619
MELK	ENST00000298048	1956
SLITRK5	ENST00000325089	2877
MYL12A	ENST00000580887	534
MYOM1	ENST00000356443	5058
ZNF778	ENST00000433976	2190
CNOT7	ENST00000361272	858
TMEM184B	ENST00000361906	1224
MTOR	ENST00000361445	7650
SCAMP5	ENST00000562212	732
ZNF521	ENST00000361524	3936
ALPK2	ENST00000361673	6513
FAM5B	ENST00000361539	2352
MAGEB3	ENST00000378986	1041
KLHDC1	ENST00000359332	1221
C14orf167	ENST00000354854	198
DRAP1	ENST00000376991	639
LONRF3	ENST00000371628	2280
MCMBP	ENST00000360003	1929
FAM171A2	ENST00000293443	2481
PXK	ENST00000356151	1737
CHKB	ENST00000406938	1188
TOB2	ENST00000327492	1035
CNGA2	ENST00000329903	1995
SEMA6B	ENST00000586582	2667
MOCS3	ENST00000244051	1383
STAU1	ENST00000371856	1734
CDH26	ENST00000244047	2559
PTGIS	ENST00000244043	1503
TWF2	ENST00000305533	1050
C1orf172	ENST00000320567	1197
RPL26	ENST00000293842	438
CCDC42	ENST00000293845	951
UBE2J2	ENST00000400930	828
TBC1D23	ENST00000394144	2100
HS3ST1	ENST00000002596	924
CD99	ENST00000449611	604
RPS27	ENST00000368567	255
BET1L	ENST00000410108	459
RPL23A	ENST00000394938	585
SLC29A3	ENST00000373189	1428
SLC19A3	ENST00000425817	1491
ITM2C	ENST00000326427	804
HTR2B	ENST00000258400	1446
USP37	ENST00000258399	2940
TTLL4	ENST00000392102	3600
HECTD1	ENST00000553700	7833
PEX3	ENST00000367591	1122
SERPINE2	ENST00000447280	1230
EID2	ENST00000390658	711
CRLF3	ENST00000324238	1329
RNPEP	ENST00000295640	1953
DMRTA1	ENST00000325870	1515
NUFIP1	ENST00000379161	1488
GSC2	ENST00000086933	618
MARS2	ENST00000282276	1782
DHRS13	ENST00000378895	1134
CACNB3	ENST00000301050	1455
ASTL	ENST00000342380	1296
KLRG2	ENST00000340940	1230
GPR179	ENST00000342292	7104
KRT31	ENST00000251645	1251
CKMT1B	ENST00000441322	1254
MAS1L	ENST00000451019	1137
PDYN	ENST00000217305	765
ADAMTS6	ENST00000381055	3354
HAO1	ENST00000378789	1113
C4orf51	ENST00000438731	609
DAD1	ENST00000250498	342
IFNW1	ENST00000380229	588
TEP1	ENST00000262715	7884
SIX5	ENST00000317578	2220
IFFO2	ENST00000455833	1554
TOB1	ENST00000499247	1038
THEMIS	ENST00000543064	2043
ANUBL1	ENST00000344646	2184
KIAA1949	ENST00000435006	231
PRR3	ENST00000549475	762
RNF5	ENST00000548239	549
TSPY10	ENST00000428845	927
GAD2	ENST00000376261	1758
ABI1	ENST00000355394	1530
YME1L1	ENST00000326799	2322
C1orf213	ENST00000335648	381
KISS1R	ENST00000234371	1197
ARID3A	ENST00000263620	1782
EPAS1	ENST00000263734	2613
BCAM	ENST00000270233	1887
MSRB3	ENST00000355192	579
OR10C1	ENST00000437403	939
MTCH1	ENST00000460219	1185
MRRFP1	ENST00000435941	789
NRM	ENST00000259953	789
HLA-F	ENST00000383516	1329
PPP1R3E	ENST00000452015	840
CSDA	ENST00000228251	1119
GUCA2B	ENST00000372581	339
KLHL38	ENST00000325995	1746
CYP21A2	ENST00000418967	1488
GAGE2B	ENST00000381725	351
NPAS1	ENST00000602212	1773
GMFG	ENST00000597595	429
ODZ1	ENST00000422452	8199
HPS5	ENST00000349215	3390
SPIRE1	ENST00000409402	2271
BTBD1	ENST00000261721	1449
HSD17B10	ENST00000168216	786
ZNF707	ENST00000358656	1116
GNAT2	ENST00000351050	1065
KIAA1107	ENST00000409154	4230
PRPF38B	ENST00000370025	1641
GSTM1	ENST00000369823	714
TUBG2	ENST00000251412	1356
ZCWPW1	ENST00000398027	1947
AP2S1	ENST00000601498	477
ITGB8	ENST00000222573	2310
PON2	ENST00000536183	1128
COPZ1	ENST00000552218	597
HBP1	ENST00000468410	1545
PIK3CG	ENST00000440650	3309
SCGN	ENST00000377961	831
PON3	ENST00000265627	1065
GEMIN7	ENST00000591607	396
MBTPS2	ENST00000379484	1560
SMPD2	ENST00000258052	1272
RPL31	ENST00000409038	393
METTL21C	ENST00000267273	795
MAB21L1	ENST00000379919	1080
EMX1	ENST00000258106	873
YOD1	ENST00000315927	1047
CHM	ENST00000357749	1962
SMYD5	ENST00000389501	1257
RAB11FIP5	ENST00000258098	1962
DYSF	ENST00000410020	6360
CCDC142	ENST00000393965	2253
EBP	ENST00000495186	693
NCBP2	ENST00000321256	471
HDLBP	ENST00000391975	3807
QKI	ENST00000361752	1026
SLC39A9	ENST00000336643	924
